"","score","text","created"
"51",0,"Sprouts: Possible FREE Zevia and Seventh Generation Soap!!! https://t.co/1bMIg6RyFU https://t.co/fYFpnReaj7","2016-04-12:19"
"52",-1,"My #garden is almost complete. Needs companion flowers, and once those sad Brussels sprouts are… https://t.co/Z8771uFPBZ","2016-04-12:19"
"53",0,"ANNNNNNNNDDDDD why are Brussel sprouts so fucking delicious?!","2016-04-12:19"
"54",0,"Pan Roasted Brussels Sprouts Subzi with Turmeric, Cumin and Mustard Seeds - Vegan Richa https://t.co/KBGARhX3ph","2016-04-12:19"
"55",3,"Calm down kids. This food is good for you, just like brussels sprouts are good for humans. https://t.co/sBNgVDZUAW","2016-04-12:19"
"56",1,"RT @CensieJ: Stop in at @SproutsFarmersMarket for major savings for the #BetterForYouBrandSale #Ad ----&gt; https://t.co/k5cWNOb3QZ https://t.…","2016-04-12:19"
"57",0,"Turkey, avocado, Swiss on a wheat bagel w/ spicy mustard, sprouts, sweet onion. Because there is zero shame when you have sammy making game.","2016-04-12:19"
"58",0,"Stir fried filet with bean sprouts. So delicious. #IZAKAYA #KIBUN #SAKE #SEOUL #GANGNAM #KOREA (<U+CC28><U+B3CC><U+BC15><U+C774> <U+C219><U+C8FC><U+BCF6><U+C74C> @ <U+AE30><U+BD84>) https://t.co/LrPvwxbVpy","2016-04-12:19"
"59",0,"Bruschetta chicken and Brussels sprouts. #21dayfix #healthychoices https://t.co/zMjI31XO7d","2016-04-12:19"
"60",1,"Far out brussels sprout! We love this combo of roasted Brussels sprouts, red onion, garlic,… https://t.co/N5jqjsMxLd","2016-04-12:19"
"61",2,"@yaylormoon it was easier to cut dairy out than I thought &amp; Sprouts has the best vegan alternatives!","2016-04-12:19"
"62",2,"Sometimes Brussels sprouts taste like energizing, verdant, and earthy goodness. Sometimes they taste like garbage. <ed><U+00A0><U+00BD><ed><U+00B8><U+00B7>","2016-04-12:19"
"63",-1,"When yo black grandma makes you eat chicken gizzards, fried okra and roasted Brussels sprouts https://t.co/3yDhylgP9H","2016-04-12:19"
"64",0,"FarmVille Sprouts Graduation! https://t.co/97AwCPntWo","2016-04-12:19"
"65",0,"Trader joes and Sprouts has my heart","2016-04-12:19"
"66",0,"@karis_scherer go eat some Brussels sprouts Krs.... <ed><U+00A0><U+00BD><ed><U+00B8><U+0092>","2016-04-12:19"
"67",0,"The dinner I made for my friend Melissa tonight. Orzo with root veg and Brussels sprouts. #vegan #vegetarian https://t.co/Aqs3r0HpLc","2016-04-12:19"
"68",1,"RT @GranvilleBarn: Still love those brussels sprouts? Well now they're topped with #bacon bits and taste... https://t.co/3NDuHUfqCZ #yvr","2016-04-12:19"
"69",1,"Fried cod, Brussel sprouts &amp; rice for dinner with #homemade chocolate chip cookies for dinner. Some days I truly enjoy cooking <ed><U+00A0><U+00BC><ed><U+00BD><U+00B2><ed><U+00A0><U+00BC><ed><U+00BD><U+00AA><ed><U+00A0><U+00BC><ed><U+00BD><U+00AA><ed><U+00A0><U+00BC><ed><U+00BD><U+00AA>","2016-04-12:19"
"70",0,"RT @i_veggie: Pan Roasted Brussels Sprouts Subzi with Turmeric, Cumin and Mustard Seeds  #vegetaria... https://t.co/gJEOLvqLco https://t.co…","2016-04-12:19"
"71",1,"Does anyone actually like the taste of brussel sprouts?","2016-04-12:19"
"72",0,"RT @yuumeijinbot: <U+98DB><U+3073><U+8E74><U+308A><U+3092><U+304F><U+3089><U+3044><U+306A><U+304C><U+3089><U+30DE><U+30B5><U+30B3><U+306F><U+8A00><U+3044><U+307E><U+3057><U+305F><U+300E><U+30E2><U+30E4><U+30B7><U+306E><U+6804><U+990A><U+7D20>www<U+300F>

<U+82F1><U+6587>:When Masako was gotten a jamping kick , she said <U+300E>nutrients of  bean sprouts <U+300F>","2016-04-12:19"
"73",0,"RT @withlove_alexa: Brussel sprouts h8 club","2016-04-12:19"
"74",0,"RT @EdibleTreats2: 15 Brussels Sprouts Recipes - #food #foodporn #foodie #recipes #recipe https://t.co/1zuAtVSsD4 https://t.co/rz65vCChsg","2016-04-12:19"
"75",0,"Brussel sprouts h8 club","2016-04-12:19"
"76",0,"Making this for dinner. Can't wait! https://t.co/y0P2YXDi5S","2016-04-12:19"
"77",1,"The cool kids eat Brussel sprouts out of a plastic cup <ed><U+00AE><U+00B8><ed><U+00BC><U+00B4> https://t.co/nK0yXsyhuf","2016-04-12:19"
"78",0,"Sprouts are sprouting! Time to toughen up little seedlings <ed><U+00A0><U+00BC><ed><U+00BC><U+00B1> https://t.co/zZijHLqjWz","2016-04-12:19"
"79",-1,"@biffersbunny tomorrow is roasted Brussel sprouts with chicken and cheese ravioli tossed in a light lemon oil sauce","2016-04-12:19"
"80",0,"Weirdest thing I have eaten while driving: Brussel sprouts 
Love me some @balancegrille <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>","2016-04-12:19"
"81",0,"@aimeexamor That's a tough one to call. Although I think talking about exes has to be a bit worse. I think the habit sprouts from nerves..","2016-04-12:19"
"82",0,"RT @SurRestaurant: @deityjewels Psst. Are those brussel sprouts?","2016-04-12:19"
"83",0,"@miriamcollins_ Thanks Brussell Sprouts <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+0083>","2016-04-12:19"
"84",1,"@BenRoss_AKL Planted runner beans at the weekend, chillies still going strong though. Maybe some Brussel Sprouts","2016-04-12:19"
"85",0,"Northern beans, broccoli sprouts, half a lime, artichokes (quartered), scallions, spinach, whole… https://t.co/RxQYRQ7zLH","2016-04-12:19"
"86",1,"RT @TheTypical_Mom: HUGE sale at my favorite place to shop 4 food! #betterforyoubrandsale #ad

Do u shop there?  https://t.co/HOrdUpE9Z4 ht…","2016-04-12:19"
"87",0,"Paint with items found in nature at the FIG Studio. Make bubble prints at Little Sprouts. https://t.co/L9Nzg0YSxy https://t.co/Nip6gnb4fN","2016-04-12:19"
"88",0,"RT @a2ztube: #Health Benefits of #Brussels Sprouts - YouTube https://t.co/TvNiNaZO3c
@a2ztube @jobs4mind","2016-04-12:19"
"89",2,"Need a balloon artist, &amp; face painter, would like team who worked at Sprouts in Colorado Springs on Wednesdays? Need U for an hour on 23rd","2016-04-12:19"
"90",0,"Pan Roasted Brussels Sprouts Subzi with Turmeric, Cumin and Mustard Seeds  #vegetaria... https://t.co/gJEOLvqLco https://t.co/pT4NRvnQRT","2016-04-12:19"
"91",2,"RT @LifeCurrentsDeb: Have you stopped by @sproutsfm lately https://t.co/y2mqG0C1nU They’ve got great deals on better for you brands #Better…","2016-04-12:18"
"92",1,"@Alex_Kayes front help, sprouts <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> i'm the friendly help angerine","2016-04-12:18"
"93",0,"Be excited for 'B' foods ... beef, barbecue and brussels sprouts: In a slow cooker, combine the cream of mushr... https://t.co/RGRJjXyPGY","2016-04-12:18"
"94",2,"these _____ with sprouts or ______ with hearts accs are so cute ohmygod its making me so happy","2016-04-12:18"
"95",0,"RT @Big_Bad_John_4: @DVATW @The_UK_NeedsYou FUCK OFF BRUSSELS - GO AND GROW SOME SPROUTS!","2016-04-12:18"
"96",0,"Ha-HA! Just saw Mrs. Zurn and the Zurn kids at Sprouts.","2016-04-12:18"
"97",2,"Still love those brussels sprouts? Well now they're topped with bacon bits and taste even better than the last... https://t.co/lZtcBcO7xm","2016-04-12:18"
"98",0,"LODO
Stir-fried Malaysian Noodles, Scallop, Shrimp, Bean Sprouts 
@ChoLonBistro Open for dinner Daily 5pm - https://t.co/mVFBsYQDOM","2016-04-12:18"
"99",0,"LODO
Stir-fried Malaysian Noodles, Scallop, Shrimp, Bean Sprouts 
@ChoLonBistro Open for dinner Daily 5pm - https://t.co/oRYwdObAFZ","2016-04-12:18"
"100",0,"3 babies 5 sprouts https://t.co/6OW4V0l76t","2016-04-12:18"
"101",0,"I'll need to try this, might even like the brussel-sprouts (but I doubt it) https://t.co/pHjzKuCKFy","2016-04-12:18"
"102",0,"@DVATW @The_UK_NeedsYou FUCK OFF BRUSSELS - GO AND GROW SOME SPROUTS!","2016-04-12:18"
"103",0,"Pesto chicken, brussel sprouts and veggies all from #traderjoe's https://t.co/qenwnqVqe2","2016-04-12:18"
"104",-2,"I feel so bad for Brussel sprouts like they have such a bad name but they aren't even bad !!! :(","2016-04-12:18"
"105",1,"Coconut rice with asparagus! Recipe called for brussel sprouts, but I subbed and it was so good!… https://t.co/59wB14pcxU","2016-04-12:18"
"106",0,"#TasteComAu  Sauteed brussels sprouts with bacon https://t.co/5gz6fDkNXR","2016-04-12:18"
"107",0,"@GSpellchecker @TheEricCostello @silverblaze713 Brussel. Sprouts.","2016-04-12:18"
"108",0,"Dinner 4/12/16 - puff pastry stuffed with swiss chard, walnuts and prunes, brussel sprouts, steamed kale","2016-04-12:18"
"109",0,"homemade #tonkatsu, brussels sprouts, ketchup/bbq
#dinner from a couple nights ago <ed><U+00A0><U+00BC><ed><U+00BD><U+00B4>
#latergram… https://t.co/52m4cgvlCn","2016-04-12:18"
"110",2,"@Chunkychocice Sounds like you are going hunting. This'll be my first attempt to grow peas. Hopefully better than the sprouts last year.","2016-04-12:18"
"111",2,"RT @tatethornley: super excited for the sprouts to open tbh","2016-04-12:18"
"112",-1,"Made braised dry rubbed pork steaks, pan roasted Brussels sprouts and bacon along with red potatoes. 

Yum.","2016-04-12:18"
"113",0,"Brussels Sprouts And Sausage Recipe - One Pot Quick &amp; Healthy Meal https://t.co/A7irt1nifk Last Second OutBid <U+21BA>RT, Favorite, Sha","2016-04-12:18"
"114",-1,"@PAIGE_MH go to sprouts. They're not as expensive as whole foods","2016-04-12:18"
"115",0,"RT @SDPorkMom: A new recipe to try on your grill this weekend! https://t.co/CT1hl7R9zM","2016-04-12:18"
"116",2,"Be excited for 'B' foods ... beef, barbecue and brussels sprouts: There's nothing quite like a beef steak and ... https://t.co/RVQx0KjKzs","2016-04-12:18"
"117",1,"Sausage tortellini and seasoned Brussel sprouts. https://t.co/gLRE01FXg0","2016-04-12:18"
"118",1,"Love this!  Hey #Sprouts this is a good idea. https://t.co/TLkOjJGgMS","2016-04-12:18"
"119",0,"Marjoram and catnip sprouts! <ed><U+00A0><U+00BC><ed><U+00BC><U+00B1> #marjoram #catnip #apartmentgarden #patiogarden #containergarden… https://t.co/oDiB4SQg38","2016-04-12:18"
"120",0,"@tomhappens 
Don't forget the group 'Big Big Train'
Their Facebook group is nutty, they talk Prog, Trains, sprouts and chocolate
Don't ask..","2016-04-12:18"
"121",3,"RT @CiaoFlorentina: I'm off to @Sproutsfm to score on the amazing deals on my favorite better for you brands https://t.co/Bj3J4BDDEm #Bette…","2016-04-12:18"
"122",2,"RT @hhtfamilyblog: It couldn't be easier to be healthy in a hurry! Check out Deals of the Month @sproutsfm https://t.co/xXO36OSSic #BetterF…","2016-04-12:18"
"123",1,"“Your taste buds will dance over these flavors and textures...”, try this delicious recipe! https://t.co/ovVIWKOQW4 https://t.co/6M0xyFa80l","2016-04-12:18"
"124",0,"<U+7720><U+3044><U+3057><U+8179><U+75DB><U+3044><U+3057><U+3067><U+671D><U+304B><U+3089><U+FF77><U+FF82><U+FF72>","2016-04-12:18"
"125",-1,"@ColdDimSum How do you roast the squash &amp; sprouts? Temperature? Seasoning?","2016-04-12:18"
"126",0,"""Marinating"" my Brussels sprouts.....first time making them.… https://t.co/8tuldrQLGY","2016-04-12:18"
"127",0,"How are you today? How about making Bangin brussel sprouts? #hmrecipes https://t.co/w0o1yNmMve https://t.co/qfRLZAyTKh","2016-04-12:18"
"128",0,"Jimmy Johns was involved in a class action lawsuit over forgotten sprouts on a sandwich. https://t.co/gFmVUL3SCw
 #facts","2016-04-12:18"
"129",-1,"The only one who lived in your legs off of cereal but then I don't worry about brussels sprouts is now!","2016-04-12:18"
"130",1,"From brussels sprouts &amp; olive oil to almonds &amp; kale: Superfood combinations that offer more benefits. https://t.co/G0NCNl1Kxp","2016-04-12:18"
"131",0,"FY2017 EPS Estimates for Sprouts Farmers Market Inc Raised by Wedbush $SFM https://t.co/niDZicJVGD","2016-04-12:18"
"132",0,"FY2017 EPS Estimates for Sprouts Farmers Market Inc Raised by Wedbush (SFM) https://t.co/jFXopUpla6","2016-04-12:18"
"133",0,"FY2017 EPS Estimates for Sprouts Farmers Market Inc Raised by Wedbush $SFM https://t.co/TQh9DqAfva","2016-04-12:18"
"134",0,"Pan Roasted Brussels Sprouts Subzi with Turmeric, Cumin and Mustard Seeds https://t.co/cN2qxA1Lm2 #vegan https://t.co/Hu2SbbTJPB","2016-04-12:18"
"135",0,"Sprouts! https://t.co/Dhr7Ds7zbf","2016-04-12:18"
"136",2,"""Crispy cauliflower was a big win. Brussels sprouts have been hot. Kale is kind of played out."" TRUTH @VeggieGrill","2016-04-12:18"
"137",0,"@BrockEatHealthy I Love roasted Brussel Sprouts!! <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>","2016-04-12:18"
"138",1,"@currinalt tbh I love me some bean sprouts","2016-04-12:18"
"139",-1,"@_abigailjoanne_ sometimes I eat bean sprouts and pretend they're fries.","2016-04-12:18"
"140",0,"I checked in at Sprouts Farmers Market on #Yelp https://t.co/d54NWToFE7","2016-04-12:18"
"141",1,"Easy, clean tea <U+2661> beef &amp; pea sprouts :) #ultimateshred #cleaneating #nutritionforlife #shreddingforthewedding https://t.co/jccCfkzInb","2016-04-12:18"
"142",0,"""We are here for all your Real Estate needs ""

More Mixed-Use Sprouts on Hollywood Boulevard via @UrbanizeLA https://t.co/XElTu9T40w","2016-04-12:18"
"143",0,"FY2017 EPS Estimates for Sprouts Farmers Market Inc Raised by Wedbush (SFM): Sprouts Farmers… https://t.co/tq5cuEw4Jl","2016-04-12:18"
"144",-1,"@MousePirate oh no! I get mine at sprouts :( I’m sorry you can’t find it!","2016-04-12:18"
"145",0,"RT @primalkitchen: Purple sweet potato sprouts now have green leaves! <ed><U+00A0><U+00BD><ed><U+00B8><U+00AE> Guess I need to rustle up some pots &amp; soil for these bad boys https…","2016-04-12:18"
"146",2,"From brussels sprouts &amp; olive oil to salmon &amp; garlic: Essential food combos that work better together. https://t.co/KG0oEvxOSq","2016-04-12:18"
"147",0,"Brussels sprouts  @pactapp https://t.co/5eOXlUgAdx https://t.co/nnV1AP7WV2","2016-04-12:18"
"148",1,"@Optimus_Slime common sense. That's like eating a McDonalds with Brussels sprouts for a side","2016-04-12:18"
"149",0,"RT @good4lifeshop: Complete protein vegetarian meals: Avocado, Sprouts &amp; Almond Butter on Whole Wheat Bread","2016-04-12:18"
"150",0,"@veganposters Because no one eats just Brussels sprouts. It's about balance vs number consumed.","2016-04-12:18"
"151",-1,"Marinated Chx breast, already cut Brussel sprouts and squash  (rainbow acres ).....
Forman Grill… https://t.co/3YiyBl9b70","2016-04-12:18"
"152",0,"RT @Regnilpek: Rock Family and the Super Duper Tall Potato Sprouts! #RockFamily @FoudrayGISA @GIAcademy https://t.co/XNeXY5cpyK","2016-04-12:18"
"153",0,"RT @abbottmedia: 4th-Gen #Lincoln Navigator Concept Sprouts X-Wings [Auto Styling News] https://t.co/R6v1NKOgEK https://t.co/8RJS3nvCQO","2016-04-12:18"
"154",0,"@Sarah_Zundel Overconsumption of Brussels sprouts and lentils has yet to show that link :)","2016-04-12:18"
"155",0,"@AOM1NE all those cartoons where the kids hated brussel sprouts except they're good??","2016-04-12:18"
"156",0,"$SFM:

Sprouts Farmers Market, Inc. (NASDAQ:SFM) Check on Analyst …:

https://t.co/YQI60o64lg","2016-04-12:18"
"157",0,"15 Brussels Sprouts Recipes - #food #foodporn #foodie #recipes #recipe https://t.co/1zuAtVSsD4 https://t.co/rz65vCChsg","2016-04-12:18"
"158",1,"RT @amy_harrisson: #Brussel Sprouts  #PositiveFoodie #international #vegan #veggie #healthy #infographics https://t.co/WxHdnlU7uW","2016-04-12:18"
"159",-1,"@FreightFarms @NASA @CNN could be worse it could be brussell sprouts.","2016-04-12:18"
"160",1,"RT @CarnitasSnacks: Our Tuesday specials look something like this:
North Park: Beef Chorizo Nachos
Del Mar: Flash Fried Brussels Sprouts ht…","2016-04-12:18"
"161",0,"@mnm_sprouts 
<U+3042><U+308A><U+304C><U+3068><U+3046>!!!!!<ed><U+00A0><U+00BD><ed><U+00B0><U+009F><ed><U+00A0><U+00BD><ed><U+00B0><U+009F><ed><U+00A0><U+00BD><ed><U+00B0><U+009F>","2016-04-12:18"
"162",0,"Complete protein vegetarian meals: Avocado, Sprouts &amp; Almond Butter on Whole Wheat Bread","2016-04-12:18"
"163",2,"I love Brussels Sprouts and Richa's look so good! Can't wait to make them.... https://t.co/qzJMNodMoI","2016-04-12:18"
"164",0,"I was never a fan of Brussels sprouts until I made this recipe. Because bacon, of course. 
https://t.co/vRH7wg89Yn https://t.co/cxWwczr7pJ","2016-04-12:18"
"165",1,"RT @GardenCollage: Hey #Parents! Grab your lil sprouts and head to the #garden to plant these easy to grow #geraniums!

Here's what... http…","2016-04-12:18"
"166",0,"RT @omahasprouts: Know about our project in South Omaha? If not, check out City Sprouts South. Crece con nosotros! https://t.co/Mk7m3uLulf","2016-04-12:18"
"167",0,"Mixed up and in the oven - leftovers: chicken, brussels sprouts, bacon, green beans and a tiny… https://t.co/VlFhCeYBWb","2016-04-12:18"
"168",2,"Look at how cute these #Arugula sprouts are! Come see them in person this Sunday April 17 for another #work #party! https://t.co/kPLnRA11l3","2016-04-12:18"
"169",3,"Aging taught me 2 important things 1. Brussel sprouts can taste good 2. As of now, I'll earn less than a man of equal talent #EqualPayDay","2016-04-12:18"
"170",1,"One of my favorite salads!!! Normally I add sprouts but the grocery store didn't have any!! This salad is... https://t.co/Xb4Qq4F0zY","2016-04-12:18"
"171",0,"I modified this recipe to make my brussels sprouts. https://t.co/9BQwdwUwwK","2016-04-12:17"
"172",0,"I'm going to have a steak tonight and roasted garlic-Parmesan Brussels sprouts because fuck this day I need something good tonight.","2016-04-12:17"
"173",0,"Yesterday's meal prep- green beens, brussel sprouts, fennel, zucchini, yellow potatoes,... https://t.co/sfPwDLcoLI https://t.co/B7hnkIERAV","2016-04-12:17"
"174",1,"Love brussels sprouts and like kale (or don't)? Try #kalettes! https://t.co/yvKxvK6hS3 https://t.co/W0QsFzgsuh","2016-04-12:17"
"175",1,"I made pasta with garlic roasted brussel sprouts. It's was quite good. <ed><U+00A0><U+00BD><ed><U+00B8><U+008B>","2016-04-12:17"
"176",0,"Look! look! look! My lavender is sprouting! #lavender #sprouts #happyfairy https://t.co/RF9gCK6j0O","2016-04-12:17"
"177",0,"@Mithrarin bean sprouts.......","2016-04-12:17"
"178",1,"One good reason to eat your vegetables: https://t.co/oiINcIeVVe via @PureWow","2016-04-12:17"
"179",2,"RT @CarmenMarinoNYC: Straight from O'Hare to great dinner at @avecchicago - loved the Brussels sprouts salad, calamari + merguez sausage! h…","2016-04-12:17"
"180",0,"@AliWontonXpress turkey and pepper jack on ciabatta with lettuce, tomato, sprouts, vinegar+oil, and pesto spread <ed><U+00A0><U+00BD><ed><U+00B8><U+008B>","2016-04-12:17"
"181",2,"Straight from O'Hare to great dinner at @avecchicago - loved the Brussels sprouts salad, calamari + merguez sausage! https://t.co/YZXKDEnQFb","2016-04-12:17"
"182",0,"Are those sprouts @monalerio ?!?!?! #niceeee https://t.co/tG3AXKm0Y8","2016-04-12:17"
"183",0,"Bacon Stuffed Meatloaf with roasted red potatoes, Brussels sprouts &amp; demi-glace.

GUUUUUURRRRRRL. <ed><U+00A0><U+00BD><ed><U+00B2><U+0085>
#CambMA #Harvard https://t.co/9uAaxNpAzi","2016-04-12:17"
"184",0,"Homemade lasagna ! &amp; Brussels sprouts for dinner ! <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>","2016-04-12:17"
