"","score","text","created"
"26",-3,"Safeway security killed a poor defenseless dog when his owner videotaped the thug abusing a… https://t.co/uwzQZAVy6G","2016-04-12:19"
"27",0,"En Route to Safeway, South Lake Tahoe, California

Recorded on April 24, 2010 ...
https://t.co/PXtmkSyZvQ https://t.co/KNVseyIYsn","2016-04-12:19"
"28",-1,"@nffc65 We're sorry about that. Which of our stores was this at? We'd like to address the issue.","2016-04-12:19"
"29",0,"RT @SarahJeanne69: dads gf stopped me in Safeway and said ""get on yo hands and knees"" and took this pic and I just found it <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/…","2016-04-12:19"
"30",0,"Safeway was out of pico de gallo and now idk what to eat","2016-04-12:19"
"31",-1,"@pdxor Heard it in the sketchy Safeway last night. Must be on this month's grocery store muzak playlist.","2016-04-12:19"
"32",-1,"F— you! Sushi is only about a hundred years old. The only wrong way to eat it is to buy it from the Safeway on... https://t.co/piXr9p64hm","2016-04-12:19"
"33",0,"Went to Safeway, spent 30 mins shopping for groceries, and as soon as I got to checkout I realized I didn't have my wallet <ed><U+00A0><U+00BD><ed><U+00B9><U+0083>","2016-04-12:19"
"34",0,"Safeway with my bank inside is closing and I'm pissed because I'll have to drive further to get money <ed><U+00A0><U+00BD><ed><U+00B8><U+0092><ed><U+00A0><U+00BD><ed><U+00B8><U+0092><ed><U+00A0><U+00BD><ed><U+00B8><U+0092>","2016-04-12:19"
"35",0,"tonight is a safeway rotisserrie chicken kind of night

don't know how to spell that word and don't care","2016-04-12:19"
"36",0,"Eating mac and cheese in Safeway wishing my cousins boss would leave so I can socialize <ed><U+00A0><U+00BD><ed><U+00B8><U+0092>","2016-04-12:19"
"37",3,"I am super excited to see this new restaurant! Got to support local! #laulimatogo located by Safeway. Give it a... https://t.co/WzcntXbV1J","2016-04-12:19"
"38",0,"https://t.co/cPwXPFRLn6","2016-04-12:19"
"39",0,"There's very few things in this world I take as seriously as I take Safeway monopoly","2016-04-12:19"
"40",-1,"@HenryEbright503 Thanks for your reply. We'll address this issue with the Director to discuss further with the Front End Mgr for review.","2016-04-12:19"
"41",0,"51 Unopened Monopoly Tickets Safeway Vons Randalls pieces - Bid Now! Only $10.5 https://t.co/XHDphirdZB https://t.co/P7HPLoIcqk","2016-04-12:19"
"42",0,"51 Unopened Monopoly Tickets Safeway Vons Randalls pieces - Bid Now! Only $10.5 https://t.co/jtaZSIx5na https://t.co/AFla7nvoL5","2016-04-12:19"
"43",-1,"The homeless man near Safeway sign said ""Too ugly to prostitute.""","2016-04-12:19"
"44",0,"51 Unopened Monopoly Tickets Safeway Vons Randalls pieces - Bid Now! Only $10.5 https://t.co/yU4sZsshIC https://t.co/woS72wkQon","2016-04-12:19"
"45",-1,"How badly I want a Safeway sandwich and some  ice cream","2016-04-12:19"
"46",0,"51 Unopened Monopoly Tickets Safeway Vons Randalls pieces - Bid Now! Only $10.5 https://t.co/24hHSTQwnX https://t.co/E0ee54rt5I","2016-04-12:19"
"47",0,"51 Unopened Monopoly Tickets Safeway Vons Randalls pieces - Bid Now! Only $10.5 https://t.co/DUSIFzvREj https://t.co/HN5NHHNdPi","2016-04-12:19"
"48",0,"51 Unopened Monopoly Tickets Safeway Vons Randalls pieces - Bid Now! Only $10.5 https://t.co/Z7DAuE39Na https://t.co/mS3qSAAAg5","2016-04-12:19"
"49",-2,"Ughhh i gotta use the bathroom sooo fucking and this line @Safeway long for no damn reason","2016-04-12:19"
"50",0,"51 Unopened Monopoly Tickets Safeway Vons Randalls pieces - Bid Now! Only $10.5 https://t.co/RXy5ArysP7 https://t.co/ci3roUomOy","2016-04-12:19"
"51",1,"My two favorite things, Safeway and Sophie<U+2764><U+FE0F><U+263A><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+00A9> @sophiekaybell #safeway https://t.co/BuTyRHjHDa","2016-04-12:19"
"52",-1,"@blobree We'll direct your comments and concerns to our Retail Operations Department for review and consideration. Thanks for your feedback.","2016-04-12:19"
"53",0,"51 Unopened Monopoly Tickets Safeway Vons Randalls pieces - Bid Now! Only $10.5 https://t.co/0NF4VYvAnI https://t.co/aluzhiWCdo","2016-04-12:19"
"54",0,"51 Unopened Monopoly Tickets Safeway Vons Randalls pieces - Bid Now! Only $10.5 https://t.co/ebdLPlYzIb https://t.co/taMbiCJFqX","2016-04-12:19"
"55",1,"@JimZaccaria Which store do you frequent? We would like to submit a request for this product.","2016-04-12:19"
"56",0,"Before you ever buy a fruit salad at Raleys/Safeway/whatever, hit up my dude Javier at the Broadway DMV fruit stand. #SoFire #FyDolla","2016-04-12:19"
"57",-1,"I'm gonna miss having chick fil a, several gas stations, Safeway, target, pet co, a movie theater, DD, &amp; much more all within a mile of me <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9>","2016-04-12:18"
"58",1,"Check out Kathleen Corkum, CIP giving out the $1000 RRSP prize in our Safeway Credit Union contest in Calgary.  Not…https://t.co/AOkmTKXZNs","2016-04-12:18"
"59",0,"Lol at the bitches in Safeway tryna get my boyfriend's snapchat","2016-04-12:18"
"60",0,"I just checked in at Safeway with #mPLUSPlaces Download today!  https://t.co/4oWYVSGBsE","2016-04-12:18"
"61",-1,"@Safeway Wisconsin Av has only managed to deliver 15 items out of my order of 56 items which is just shy of 27 percent. Utter shambles","2016-04-12:18"
"62",1,"Check out Kathleen Corkum, CIP presenting a $1000 RRSP prize to our Safeway Credit Union member in Calgary.  Not a b…https://t.co/AOkmTKXZNs","2016-04-12:18"
"63",0,"Safeway https://t.co/xULAb8EPOx","2016-04-12:18"
"64",0,"HAZARD | SAFEWAY (TV HWY SW) | 15:50:18 https://t.co/p0fyiPIvnL","2016-04-12:18"
"65",0,"We have eaten tilapia all these years. Suddenly, tilapia farming hence US company and Safeway company. #tilapiamytaste","2016-04-12:18"
"66",0,"I'm at Safeway Philtech Inc. in Taguig, Metro Manila https://t.co/0e0PqP5Ccl","2016-04-12:18"
"67",0,"Tracy Johnson being at Safeway we have a couple of those https://t.co/ngL2hJwErM","2016-04-12:18"
"68",0,"Officials of Safeway Estate Ltd go missing as customers chase investment: An Accra High Court has ordered inve... https://t.co/qkE73u27rM","2016-04-12:18"
"69",0,"Officials of Safeway Estate Ltd go missing as customers chase investment: An Accra High Court has ordered inve... https://t.co/uk7ZtRUlB9","2016-04-12:18"
"70",0,"Officials of Safeway Estate Ltd go missing as customers chase investment: An Accra High Court has ordered inve... https://t.co/u062CKRViA","2016-04-12:18"
"71",2,"Some boy that was with his mom at Safeway said he liked my hair 
Little kids stay winning","2016-04-12:18"
"72",0,"@Safeway Town Center Corte Madera. Between 12:10 - 12:20pm. Shout out to the lady working at the bakery though. She tried to find someone.","2016-04-12:18"
"73",0,"Cook-China Express (11494) Food Service - Safeway - Anacortes, WA https://t.co/KbcafoXJji #job #career #jobsearch #jobs #USA","2016-04-12:18"
"74",0,"Officials of Safeway Estate Ltd go missing as customers chase investment https://t.co/IwZaPtF6sR","2016-04-12:18"
"75",0,"Officials of Safeway Estate Ltd go missing as customers chase investment https://t.co/rwGL2nfRk9","2016-04-12:18"
"76",3,"bruh the safeway dood was like wow on your way to work?? Do you go to school too?? I bet you go to spscc","2016-04-12:18"
"77",0,"BRUH THE PRODUCE GUY AT THE DISCO BAY SAFEWAY IS SO PRETTY I ASKED HIM WHERE RAISINS WERE AND ALMOST HYPERVENTILATED","2016-04-12:18"
"78",0,"LIVE on #Periscope: leaving Safeway https://t.co/O3R25IYABS","2016-04-12:18"
"79",0,"I'm at Safeway in San Jose, CA https://t.co/yNAo12d7K0","2016-04-12:18"
"80",0,"Was passed by a fully-loaded @AssocPetro speeding through Seattle to @Safeway in Ballard. Had cruise control set.. https://t.co/0IbFbyg3oG","2016-04-12:18"
"81",-1,"@JCCallanta We're sorry to hear about this staffing issue. Where did you experience this? We'd like to address it.","2016-04-12:18"
"82",1,"When you're in the Safeway bathroom and the toilet next to you starts regurgitating. It's been a great day folks.","2016-04-12:18"
"83",0,"I'm at Safeway in San Francisco, CA https://t.co/lYCsm8h8q1","2016-04-12:18"
"84",0,"@jaylaruss2 Safeway deli","2016-04-12:18"
"85",1,"RT @CFBNJ: @Albertsons, parent company of NJ's @acmemarkets &amp; @Safeway, supports our Family Packs through @HungerIs to fight childhood #hun…","2016-04-12:18"
"86",0,"Check out 80 Safeway / Vons  Monopoly Game Pieces OPENED https://t.co/ADJ7P6e5Ko @eBay","2016-04-12:18"
"87",-2,"Do any grocery stores make you so sad you wanna die? S/O to the 109st Safeway","2016-04-12:18"
"88",0,"I want some Safeway cupcakes","2016-04-12:18"
"89",1,"@Safeway Sounds good.","2016-04-12:18"
"90",0,"Thanks @Safeway ! <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>","2016-04-12:18"
"91",2,"@KlarenzDeigh We'll share your comments with the Director and staff. Get well soon, and have a fantastic rest of your day!","2016-04-12:18"
"92",0,"RT @SMBRetail: .@SharkTankABC Bites @bantambagels, and now you can get them at @Starbucks &amp; soon @safeway https://t.co/2iZti6xTiz https://t…","2016-04-12:18"
"93",1,"@FoodieLu Happy to hear it! At which of our two stores was this? We'd like to send your compliments to the Deli Manager.","2016-04-12:18"
"94",0,"@Safeway","2016-04-12:18"
"95",1,"@Leonthetrainer We're happy that this issue was resolved! Have a nice rest of your day!","2016-04-12:18"
"96",0,"This @safeway is closing 5/30 but they already have it bare smh https://t.co/dPopEWjZBN","2016-04-12:18"
"97",0,"For snacks are limited. Safeway had hostess donuts on sale for $1 and I passed by the Doritos and Funyuns. That is progress.","2016-04-12:18"
"98",0,"I just checked in at Safeway with #mPLUSPlaces Download today!  https://t.co/5Ly7TYGXdo","2016-04-12:18"
"99",2,"but they cost like $250.. I'd be happy with some $5 roses from Safeway https://t.co/fv4kHIe27r","2016-04-12:18"
"100",0,"@TayFayeTho Safeway","2016-04-12:18"
"101",0,"Officials of Safeway Estate Ltd go missing as customers chase investment https://t.co/ZaDTVJdMeo","2016-04-12:18"
"102",0,"Officials of Safeway Estate Ltd go missing as customers chase investment https://t.co/Y4Npt1dHH7 https://t.co/tvQYqS23PX","2016-04-12:18"
"103",1,"In Pueblo making one last buy at the Safeway I grew up going to before the old store closes for good. https://t.co/8V25EiuyVS","2016-04-12:18"
"104",0,"Officials of Safeway Estate Ltd go missing as customers chase investment https://t.co/YTPiBSogl6","2016-04-12:18"
"105",0,"ATLAS  # 2302 safeway 50 ft mech reefer  N Scale https://t.co/uKcIkVWnAr https://t.co/dcNiuVoqGX","2016-04-12:17"
"106",0,"COME TO TURLOCK IF WE CAN GET DUMMY LIT IN THE SAFEWAY PARKING LOT AFTER A FOOTBALL GAME WELL BE HYPE AF W U HERE!!! https://t.co/m0ydTvWrkN","2016-04-12:17"
"107",0,"RT @joyonlineghana: Officials of Safeway Estate Ltd go missing as customers chase investment https://t.co/RwqZPlWZag #GhanaNews https://t.c…","2016-04-12:17"
"108",1,"toaster at the Starbucks in Safeway was broken so mom told me to use their hot food warmer to heat my coffee cake https://t.co/La5MTHk8JM","2016-04-12:17"
"109",2,"@AdventureGlass We're happy to hear you received great service at our Starbucks kiosk! We'll send this to the Director to share with Sara.","2016-04-12:17"
"110",1,"See ya Safeway.. It's been fun https://t.co/R0TH8spFLi","2016-04-12:17"
"111",0,"dads gf stopped me in Safeway and said ""get on yo hands and knees"" and took this pic and I just found it <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/G0IVTNdJdZ","2016-04-12:17"
"112",-1,"@helloabakkus We're sorry to hear you were dissatisfied with our café! Which one did you visit? We'd like to address this.","2016-04-12:17"
"113",0,"RT @Claudettepoppy: @EyelashesSFO @LoveLindaWang @Safeway  Brilliant Idea! I am going to do that and think of you each time. You are so lov…","2016-04-12:17"
"114",0,"<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> had endless safeway callouts to go hoop out mattawoman or andrews https://t.co/sjh97In93b","2016-04-12:17"
"115",0,"RT @Joy997FM: Officials of Safeway Estate Ltd go missing as customers chase investment https://t.co/jOOmeEC6Zc #JoyNews https://t.co/D8CMSw…","2016-04-12:17"
"116",0,"@duhnellelindsey I was thinking about hitting up Safeway on my lunch! Haha I'll probably get some for dinner now <ed><U+00A0><U+00BD><ed><U+00B8><U+008F>","2016-04-12:17"
"117",0,"@BJammmie I'm sick and needed hot soup so I went to Safeway on my lunch and I got their chili in the deli and it is so YUMMY!","2016-04-12:17"
"118",1,"Check out our sweet new 22oz Boat Display at Sunset @Safeway! #SaveTheAles #BeerToGo #BuyLocal #BeerLocal https://t.co/rMf77ZWqk3","2016-04-12:17"
"119",1,"fresher seafood than the Bay Street Safeway, believe it or not.
.
.
#halfmoonbay #crabseas… https://t.co/2q1D6w7TWB https://t.co/XzF9EpzGFw","2016-04-12:17"
"120",0,"Officials of Safeway Estate Ltd go missing as customers chase investment https://t.co/zlv7i7TDGu #GhanaNews #Ghana","2016-04-12:17"
"121",0,"Officials of Safeway Estate Ltd go missing as customers chase investment https://t.co/aUGoqRSCcc https://t.co/JYz8SfFxUI","2016-04-12:17"
"122",0,"@johnthomasjr50p Thank you for asking for these products! We've submitted requests for the burgers, ribs, and cake. We hope this helps!","2016-04-12:17"
"123",0,"@Safeway the one on 18th in Eugene Oregon","2016-04-12:17"
"124",0,"@Safeway The Market St store in San Francisco. Thx.","2016-04-12:17"
"125",0,"Ghana News - Officials of Safeway Estate Ltd go missing as customers chase investment https://t.co/HbUaksswrg via Cc a@geo_bolero @scotcg2g","2016-04-12:17"
"126",0,"Yeah!!  I haven't seen you at Safeway lately lol  https://t.co/y86gXzFEov","2016-04-12:17"
"127",-1,"RT @ClarkHoward: RECALL ALERT: Bought these macaroni, potato or other cold salads at Walmart or Safeway? https://t.co/RzLMLGF0IJ https://t.…","2016-04-12:17"
"128",-3,"Shamrock ran out of banana peppers and people are literally getting mad at ME because there's a shortage??? Like?¿ sorry? Go to Safeway?","2016-04-12:17"
"129",0,"Officials of Safeway Estate Ltd go missing as customers chase investment https://t.co/RwqZPlWZag #GhanaNews https://t.co/ERogpbikCv","2016-04-12:17"
"130",0,"Officials of Safeway Estate Ltd go missing as customers chase investment https://t.co/jOOmeEC6Zc #JoyNews https://t.co/D8CMSwn92X","2016-04-12:17"
"131",0,"@richmondsfblog I know that. We still need a non-Safeway option and Grocery Express is not a viable one!","2016-04-12:17"
"132",1,"I found a $100 Safeway gift card while cleaning. it's a reward from past me!","2016-04-12:17"
"133",0,"Accounting Clerk IV https://t.co/NTeD3cxMNg","2016-04-12:17"
"134",0,"Accounting Clerk - Tax https://t.co/wR4ZY2Mxtt","2016-04-12:17"
"135",0,"Seen the cutest baby boy with blue eyes in Safeway rn and he was talking to me in baby <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>","2016-04-12:17"
"136",0,"@SLShockeyfan only involvement we have in the cake is designing an image, taking it to Safeway and having them print it on a cake in icing..","2016-04-12:17"
"137",1,"@Safeway Will do -- thank you!","2016-04-12:17"
"138",1,"RT @JCLPart2: Safeway chicken wings taste better when you only pay for potato wedges.","2016-04-12:17"
"139",0,"I just checked in at Safeway Fuel Station with #mPLUSPlaces Download today!  https://t.co/jkkxQHdypi","2016-04-12:17"
"140",1,"Safeway chicken wings taste better when you only pay for potato wedges.","2016-04-12:17"
"141",0,"Gotta get my stash of monolopy tickets! (at @Safeway in Everett, WA) https://t.co/dJaS7F68EY https://t.co/vCWtEBzgsY","2016-04-12:17"
"142",0,"#Lafayette police called on to contact suspected liquor raider, heading from #DiabloFoods to #Safeway. White male, late 20s, pink earbuds.","2016-04-12:17"
"143",0,"@Rob__Sly @fakemikemulloy That babies come from seeds you buy at Safeway.

No wait, it was my dad who said that.","2016-04-12:17"
"144",0,"Deal of the Day!

Brawny Single Roll Paper Towels  
<U+25BA> $0.50 at Safeway
+ use $0.25/1 digital coupon at... https://t.co/HeHXn8ftYQ","2016-04-12:17"
"145",0,"@Bis_anater today in safeway this someone had a meltdown and people just stood and stared while the police tried to calm the situation","2016-04-12:17"
"146",0,"Accounting Clerk III - Expense Payables https://t.co/8fT8jIO7H3","2016-04-12:17"
"147",0,"RT @Coeffo__Peofdi: 175 Albertsons Safeway Vons Monopoly Unopened Pieces 175 - Bid Now! Only $30.0 https://t.co/Kb74ziqXNd https://t.co/fr2…","2016-04-12:17"
"148",0,"175 Albertsons Safeway Vons Monopoly Unopened Pieces 175 - Bid Now! Only $30.0 https://t.co/sf9cWezF3Z https://t.co/wUTs7T5WWT","2016-04-12:17"
"149",0,"Accounting Clerk III - Expense Payables https://t.co/A2kowbC4Ky","2016-04-12:17"
"150",0,"175 Albertsons Safeway Vons Monopoly Unopened Pieces 175 - Bid Now! Only $30.0 https://t.co/BLt1mbvFgZ https://t.co/MkWown8BB2","2016-04-12:17"
"151",0,"Cashier 
Canada Safeway, Cochrane, AB
Customer Service, checking groceries, handling of cash, bagging groceries.... https://t.co/6FHREqj0N6","2016-04-12:17"
"152",0,"175 Albertsons Safeway Vons Monopoly Unopened Pieces 175 - Bid Now! Only $30.0 https://t.co/IR04gOpC2J https://t.co/Lj3Zm7rSIH","2016-04-12:17"
"153",0,"175 Albertsons Safeway Vons Monopoly Unopened Pieces 175 - Bid Now! Only $30.0 https://t.co/Pj9RSx5njR https://t.co/0QnEqF24aF","2016-04-12:17"
"154",0,"175 Albertsons Safeway Vons Monopoly Unopened Pieces 175 - Bid Now! Only $30.0 https://t.co/Kb74ziqXNd https://t.co/fr2UAQaWrX","2016-04-12:17"
"155",0,"175 Albertsons Safeway Vons Monopoly Unopened Pieces 175 - Bid Now! Only $30.0 https://t.co/uPfa8ZCQjr https://t.co/VRQ9wApQtB","2016-04-12:17"
"156",0,"175 Albertsons Safeway Vons Monopoly Unopened Pieces 175 - Bid Now! Only $30.0 https://t.co/N50dcjoKXD https://t.co/msqyDnHo7N","2016-04-12:17"
"157",0,"175 Albertsons Safeway Vons Monopoly Unopened Pieces 175 - Bid Now! Only $30.0 https://t.co/FmOl0YQ5bc https://t.co/xFEquIEy56","2016-04-12:17"
"158",0,"175 Albertsons Safeway Vons Monopoly Unopened Pieces 175 - Bid Now! Only $30.0 https://t.co/jYM28OcrVc https://t.co/VJCa2Xc5J1","2016-04-12:17"
"159",0,"RT @nafisaaaaaa_: When you find @TheSpiffyGemini at Safeway and you finally meet your older sis mom:))","2016-04-12:17"
"160",1,"Tb to @hilal_asmat and I walking to her place and then safeway on a hot day and mac's bouquet started coming apart","2016-04-12:17"
"161",1,"@Albertsons, parent company of NJ's @acmemarkets &amp; @Safeway, supports our Family Packs through @HungerIs to fight childhood #hunger. Thanks!","2016-04-12:17"
"162",0,"@garrutt the Safeway ""Mexican"" cheese?! You know it!","2016-04-12:17"
"163",0,"When you find @TheSpiffyGemini at Safeway and you finally meet your older sis mom:))","2016-04-12:16"
"164",0,"In the same spirit, I'm not going to put chocolate syrup on my naked body and prowl the aisles at local Safeway. https://t.co/3i3OYTt7HZ","2016-04-12:16"
"165",0,"NEW JOB: Santee CA - Retail Associate - Retail Associate br Safeway br Santee CA br br The... https://t.co/xbBXIIactz #Safeway #job #jobs","2016-04-12:16"
"166",0,"Wonder if people realize safeway gas burns quicker lol","2016-04-12:16"
"167",0,"I'm at Safeway in Winnipeg, MB https://t.co/LfJvMwbKll","2016-04-12:16"
"168",1,"Watching a woman go Ham over the monopoly game at Safeway and I wish anything made me that happy","2016-04-12:16"
"169",0,"My money there is no line at Safeway is getting a loaf of bread and a liter of vodka.","2016-04-12:16"
"170",0,"@TCBY Is #TCBYGrocery No More? Can no longer find #TCBY at @Albertsons, or @Safeway in Phoenix AZ","2016-04-12:16"
"171",2,"But bc I grew up eating mainly here, Johnny's off Iverson St (shopping center where the old Safeway was)....I love their jumbo sauce best.","2016-04-12:16"
"172",0,"DA HAWAIIAN POKE COMPANY
Safeway Kapahulu Center
870 Kapahulu Avenue
Honolulu, HI 96816... https://t.co/C7VZL44ICw","2016-04-12:16"
"173",0,"@pdxhanh thanks! We'll make sure the bagging process is reviewed by the Store Director for training purposes and to prevent a recurrence!","2016-04-12:16"
"174",1,"I'm Lil Wayne! I'm at Safeway in Dreamworld right now!","2016-04-12:16"
"175",0,"I just checked in at Safeway with #mPLUSPlaces Download today!  https://t.co/J2WJWmTKFX","2016-04-12:16"
"176",1,"@bcwheeler we'd like to help. Please email us with details and your order information at safewaysocialmedia@safeway.com. Thank you!","2016-04-12:16"
"177",0,"65 Jewel Monopoly Slips Safeway Albertsons Vons Acme Randalls 2016  via eBay https://t.co/YE6TNzbtXf https://t.co/HkuLgBe8EK","2016-04-12:16"
"178",0,"@BareFootLuis9 I can't think when I was running on warren <ed><U+00A0><U+00BD><ed><U+00B8><U+00B3> was it Paseo? Oh maybe we did a loop near SB &amp; Safeway","2016-04-12:16"
"179",0,"@bakeryonmain in the house (@ Safeway Division Office in Englewood, CO) https://t.co/EdpxudQtIy","2016-04-12:16"
"180",0,"Instore Teller 1 2 Or 3 40 Hrs Owings Mills Safeway Jobs in Baltimore, MD #Baltimore #MD #jobs #jobsearch https://t.co/tbgCj46Evj","2016-04-12:16"
"181",1,"@gilbertgamboa thanks! We'll address this. We also welcome you to email us at safewaysocialmedia@safeway.com with details.","2016-04-12:16"
"182",0,"South King County Professional Firefighters are currently responding to a Service call of an EMS nature. SAFEWAY / 101 AUBURN WAY S Auburn.","2016-04-12:15"
"183",0,"175 Albertsons Safeway Vons Monopoly Unopened Pieces 175 https://t.co/eAJVGDl9x9 Last Second OutBid <U+21BA>RT, Favorite, Share","2016-04-12:15"
"184",0,"The Rapid City west side Safeway has some clearance carts of name brand hair products (shampoo, conditioner,... https://t.co/qfSEeQv7Xq","2016-04-12:15"
"185",1,"the employees @ the poulsbo starbucks in safeway will always be my fav <ed><U+00A0><U+00BD><ed><U+00B8><U+008C>","2016-04-12:15"
"186",1,"RT @makeandtakes: Make Green Smoothies to celebrate Earth Day this month!! @Safeway #everycartcounts (ad) https://t.co/yr6NLCRqpI https://t…","2016-04-12:15"
"187",-1,"Yo @Safeway! If it's lunchtime and no one is manning the deli, can I make my own plate? Asking for the 5 customers that got tired of waiting","2016-04-12:15"
"188",0,"ATTENTION EVERYONE!!!! 

how do u fit an elephant into a safeway bag?","2016-04-12:15"
"189",1,"RT @victoriarose23_: @ all you boys friendly reminder that Safeway has $5 Tuesday's where their older bouquets of flowers go on clearance f…","2016-04-12:15"
"190",0,"@Safeway Thanks and it's at 4950 mission in San Francisco. <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>","2016-04-12:15"
"191",2,"@KlarenzDeigh we're so glad to hear this, and hope you can kick those crutches soon! Where did you shop, so we can share the love?","2016-04-12:15"
"192",0,"@allisonxoxo6 @ibarra96sarai yeah homie one by Safeway and one by SSU. We are gonna take Sarai there when we kidnap her.","2016-04-12:15"
"193",0,"@Seanaci I don't know if they're gonna bother, I'm just happy they can switch me back to Safeway for my last few refills.","2016-04-12:15"
"194",0,"#NowHiring Event Specialist Part Time Sales at Safeway in #Gaithersburg #MD #GaithersburgJobs #ApplyNow  https://t.co/BzZqw9KVsu","2016-04-12:15"
"195",0,".@SharkTankABC Bites @bantambagels, and now you can get them at @Starbucks &amp; soon @safeway https://t.co/2iZti6xTiz https://t.co/D9UpIlIoJm","2016-04-12:15"
"196",4,"@Safeway my store in Pleasanton CA had the most delicious Deli snack box for a grasser like me #bravo #love it","2016-04-12:15"
"197",-1,"Got original flavor instant oatmeal by safeway kitchens +2 foods for breakfast: 205kcal, 9g fat, 19g carbs, 9g protein.","2016-04-12:15"
